svce_loc_id,station_name,counts
71,淡水,541065
108,G南京復興,533205
51,BL台北車站,501966
111,松山,476312
86,西門,440529
52,R台北車站,433735
132,O松江南京,401099
82,板橋,399582
109,台北小巨蛋,394249
85,龍山寺,392903
31,BR南港展覽館站,381352
100,台北101/世貿,372260
19,動物園,366513
134,東門,337983
42,中正紀念堂,335525
57,劍潭,329364
55,R民權西路,313171
23,西湖,305229
131,行天宮,299274
107,G松江南京,285373
99,象山,283089
98,BL南港展覽館,282673
92,國父紀念館,281885
93,市政府,279515
56,圓山,264134
22,劍南路,262357
110,南京三民,254458
48,南勢角,245933
130,中山國小,242093
39,公館,241320
125,三重,239019
50,臺大醫院,238661
21,大直,237113
133,O忠孝新生,235919
123,頭前庄,233982
178,三重國小,231818
90,BL忠孝復興,229326
102,R大安,228154
24,港墘,227742
129,O民權西路,226504
105,北門,224123
76,頂埔,223104
53,R中山,222680
61,石牌,221382
122,新莊,220662
91,忠孝敦化,220025
45,頂溪,215334
83,新埔,211450
174,蘆洲,210503
7,松山機場,207707
29,東湖,204322
81,府中,201441
25,文德,198735
26,內湖,197086
84,江子翠,195493
106,G中山,184744
175,三民高中,184420
101,信義安和,182085
209,209_板橋,181317
126,菜寮,175383
58,士林,174858
27,大湖公園,173580
59,芝山R21,172953
176,徐匯中學,171040
47,景安,170218
103,大安森林公園,169230
79,海山,165062
89,BL忠孝新生,161132
54,雙連,160629
121,輔大,160573
95,後山埤,158522
88,善導寺,158184
41,古亭,155489
97,南港,155435
16,萬芳醫院,155396
60,明德,155263
179,迴龍,154742
35,七張,154333
77,永寧,154005
64,北投,153306
96,昆陽,149103
180,丹鳳,149087
68,關渡,147989
11,BR大安,145742
70,紅樹林,145626
33,新店,145150
30,南港軟體園區,142302
80,亞東醫院,139567
34,新店市公所,136086
177,三和國中,135576
9,BR南京復興,133859
211,211_頭前庄,132610
12,科技大樓,131891
127,台北橋,130277
28,葫洲,127650
65,新北投,125952
124,先嗇宮,122655
62,唭哩岸,119353
37,景美,115151
36,大坪林,114027
10,BR忠孝復興,110779
128,大橋頭,110568
94,永春,110117
46,永安市場,110068
8,中山國中,108973
40,台電大樓,107728
78,土城,103475
69,竹圍,101434
43,小南門,100862
212,212_幸福,100175
38,萬隆,99134
13,六張犁,89998
208,208_板新,89259
213,213_新北產業園區,89147
206,206_橋和,88769
201,201_十四張,87017
210,210_新埔民生,86657
18,木柵,82930
63,奇岩,82286
32,小碧潭,82206
17,萬芳社區,74770
15,辛亥,74767
66,復興崗,72717
67,忠義,70624
205,205_中和,67903
207,207_中原,66554
200,200_大坪林,66138
203,203_景平,66091
14,麟光,54655
202,202_秀朗橋,46103
